org_id,name,registration_number,jurisdiction,type,status
O001,Eastern Meridian Logistics,REG-2021-1001,Odisha,Trading,Active
O002,Blue River Trading,REG-2022-1002,Jharkhand,Finance,Active
O003,Silverline Imports,REG-2023-1003,Bihar,Technology,Active
O004,Northstar Freight,REG-2024-1004,West Bengal,Services,Active
O005,Greenfield Finance,REG-2025-1005,Odisha,Logistics,Active
O006,Crescent Telecom,REG-2026-1006,Jharkhand,Trading,Active
O007,Harbor Link Services,REG-2027-1007,Bihar,Finance,Active
O008,Sunrise Warehousing,REG-2028-1008,West Bengal,Technology,Inactive
O009,Metroline Exports,REG-2029-1009,Odisha,Services,Active
O010,Redwood Technologies,REG-2030-1010,Jharkhand,Logistics,Active
O011,Oakbridge Consulting,REG-2031-1011,Bihar,Trading,Active
O012,Riverstone Transport,REG-2032-1012,West Bengal,Finance,Active
O013,Golden Gate Supplies,REG-2033-1013,Odisha,Technology,Active
O014,Pioneer Textiles,REG-2034-1014,Jharkhand,Services,Active
O015,Vertex Communications,REG-2035-1015,Bihar,Logistics,Active
O016,Westland Enterprises,REG-2036-1016,West Bengal,Trading,Inactive
O017,Atlas Distribution,REG-2037-1017,Odisha,Finance,Active
O018,Skyline Retail,REG-2038-1018,Jharkhand,Technology,Active
O019,Evergreen Ventures,REG-2039-1019,Bihar,Services,Active
O020,Coastal Mercantile,REG-2040-1020,West Bengal,Logistics,Active
O021,Prime Route Logistics,REG-2041-1021,Odisha,Trading,Active
O022,Summit Wholesale,REG-2042-1022,Jharkhand,Finance,Active
O023,Urban Crest Services,REG-2043-1023,Bihar,Technology,Active
O024,Delta Trade House,REG-2044-1024,West Bengal,Services,Inactive
O025,Bright Horizon Foods,REG-2045-1025,Odisha,Logistics,Active
O026,Crownline Motors,REG-2046-1026,Jharkhand,Trading,Active
O027,Lakeside Infrastructure,REG-2047-1027,Bihar,Finance,Active
O028,Bluecrest Solutions,REG-2048-1028,West Bengal,Technology,Active
O029,Grand Avenue Traders,REG-2049-1029,Odisha,Services,Active
O030,Eastgate Services,REG-2050-1030,Jharkhand,Logistics,Active
O031,Sterling Industrial Works,REG-2051-1031,Bihar,Trading,Active
O032,Maple Leaf Commerce,REG-2052-1032,West Bengal,Finance,Inactive
O033,Ironbridge Systems,REG-2053-1033,Odisha,Technology,Active
O034,Horizon Agro,REG-2054-1034,Jharkhand,Services,Active
O035,Parkview Holdings,REG-2055-1035,Bihar,Logistics,Active
O036,Clearpath Networks,REG-2056-1036,West Bengal,Trading,Active
O037,Royal Meridian Group,REG-2057-1037,Odisha,Finance,Active
O038,Stonebridge Finance,REG-2058-1038,Jharkhand,Technology,Active
O039,Capital Reach,REG-2059-1039,Bihar,Services,Active
O040,Willow Creek Traders,REG-2060-1040,West Bengal,Logistics,Inactive
O041,Frontier Supply Co,REG-2061-1041,Odisha,Trading,Active
O042,Oakline Services,REG-2062-1042,Jharkhand,Finance,Active
O043,Central Market Group,REG-2063-1043,Bihar,Technology,Active
O044,Riverview Enterprises,REG-2064-1044,West Bengal,Services,Active
O045,Highpoint Distribution,REG-2065-1045,Odisha,Logistics,Active
O046,Cedar Valley Exports,REG-2066-1046,Jharkhand,Trading,Active
O047,Northwind Commerce,REG-2067-1047,Bihar,Finance,Active
O048,Westgate Solutions,REG-2068-1048,West Bengal,Technology,Inactive
O049,Ashford Trading,REG-2069-1049,Odisha,Services,Active
O050,Meridian Square Holdings,REG-2070-1050,Jharkhand,Logistics,Active
